id,AVG_HOME_AGE,AVG_AWAY_AGE
1416,27.0,25.273
1417,25.455,25.727
1418,25.364,25.091
1419,24.909,21.636
1420,25.545,27.091
1421,25.818,26.455
1422,25.909,24.182
1423,26.364,25.182
1424,26.273,24.273
1425,23.273,26.273
1426,25.455,25.0
1427,26.0,25.545
1428,24.636,24.727
1429,25.091,25.636
1430,22.818,24.455
1431,25.818,25.182
1432,26.273,25.364
1433,26.364,25.636
1434,23.909,24.455
1435,24.091,25.545
1436,24.636,24.818
1437,25.636,24.727
1438,25.273,26.273
1439,27.909,24.182
1440,23.636,26.545
1441,25.091,25.636
1442,25.818,24.727
1443,26.455,24.273
1444,26.273,26.455
1445,24.455,23.818
1446,26.0,23.182
1447,25.273,26.0
1448,26.091,22.909
1449,23.636,27.0
1450,26.273,26.0
1451,26.909,25.636
1452,24.182,24.455
1453,25.273,26.455
1454,24.727,26.545
1455,23.182,26.091
1456,24.091,25.545
1457,24.818,23.091
1458,24.0,25.273
1459,26.455,27.182
1460,26.091,24.727
1461,,24.273
1462,,26.455
1463,25.909,24.0
1464,27.0,22.182
1465,26.364,26.455
1466,26.364,24.273
1467,25.545,
1468,26.182,26.273
1469,25.273,27.455
1470,25.909,26.0
1471,23.545,23.0
1472,27.091,27.455
1473,24.364,24.636
1474,23.545,27.091
1475,26.455,25.545
1476,28.182,26.364
1477,25.091,26.364
1478,,25.0
1479,26.818,22.273
1480,26.273,24.818
1481,26.0,24.182
1482,25.455,28.091
1483,25.364,27.182
1484,26.455,24.091
1485,25.727,23.545
1486,25.0,24.909
1487,25.545,26.818
1488,27.091,26.818
1489,23.273,25.273
1490,26.0,24.727
1491,25.818,25.818
1492,26.0,26.0
1493,26.273,24.636
1494,27.455,24.818
1495,26.182,24.364
1496,27.455,23.636
1497,26.0,25.909
1498,25.455,25.545
1499,25.091,25.091
1500,26.818,25.818
1501,27.727,26.727
1502,26.909,25.0
1503,25.636,26.273
1504,23.0,24.091
1505,25.636,26.091
1506,23.182,26.364
1507,26.364,22.909
1508,26.636,26.0
1509,25.182,25.182
1510,27.091,26.909
1511,25.818,27.727
1512,24.182,25.091
1513,25.727,25.364
1514,25.364,26.545
1515,25.091,25.091
1516,27.818,25.0
1517,28.364,24.727
1518,26.909,24.182
1519,26.273,27.0
1520,22.636,25.545
1521,25.455,25.818
1522,23.636,27.818
1523,26.545,25.455
1524,25.818,23.364
1525,25.091,26.545
1526,27.0,24.727
1527,26.727,25.909
1528,23.818,27.182
1529,25.545,24.091
1530,26.182,26.455
1531,27.545,23.091
1532,26.545,26.0
1533,27.182,27.364
1534,26.727,24.091
1535,26.727,25.273
1536,22.818,24.727
1537,25.545,23.091
1538,25.636,25.636
1539,25.091,27.455
1540,27.0,26.364
1541,25.0,26.545
1542,27.091,22.909
1543,26.727,27.545
1544,24.273,25.818
1545,26.545,25.909
1546,25.182,27.273
1547,24.182,25.182
1548,26.091,27.455
1549,24.818,27.545
1550,24.909,26.182
1551,,23.091
1552,24.545,23.091
1553,25.455,
1554,24.364,25.091
1555,26.091,25.091
1556,26.273,24.727
1557,26.273,25.0
1558,27.727,27.273
