id,home_team_api_id,away_team_api_id,buildUpPlaySpeed_home,buildUpPlayPassing_home,chanceCreationPassing_home,chanceCreationCrossing_home,chanceCreationShooting_home,defencePressure_home,defenceAggression_home,defenceTeamWidth_home,buildUpPlaySpeed_away,buildUpPlayPassing_away,chanceCreationPassing_away,chanceCreationCrossing_away,chanceCreationShooting_away,defencePressure_away,defenceAggression_away,defenceTeamWidth_away,AVG_HOME_AGE,AVG_AWAY_AGE,Home_Team_Aggression,Home_Team_Potential,Home_Team_Stamina,Home_Team_OverallRating,Home_Team_FreeKick,Away_Team_Aggression,Away_Team_Potential,Away_Team_Stamina,Away_Team_OverallRating,Away_Team_FreeKick,labels
22338,8305,10205,30,35,35,50,70,40,30,50,64,30,55,35,70,65,30,70,25.636,27.818,63,79,71,75,79,68,83,72,79,83,0
19549,6403,10212,63,39,64,53,52,36,39,64,61,66,67,64,55,38,49,46,25.182,27.545,65,76,65,71,73,64,69,62,68,70,1
6038,9853,9874,65,35,35,65,65,35,45,65,50,50,35,65,35,45,55,65,24.364,25.273,64,75,68,71,70,59,75,67,71,79,0
18785,9764,10238,46,41,54,52,46,39,57,53,56,42,54,52,52,37,37,58,29.1,27.818,65,68,68,67,78,60,69,65,67,75,1
6147,9853,9831,65,35,35,65,65,35,45,65,50,50,50,50,65,45,45,35,26.545,25,65,76,68,72,75,64,74,65,69,77,2
3052,8456,8655,70,60,70,65,75,65,65,50,55,65,50,50,35,45,60,55,25.455,25.182,71,85,72,82,81,62,77,69,71,84,0
19494,7841,10264,66,44,58,65,54,39,48,66,55,55,62,65,39,25,56,39,26.091,25.364,63,73,66,70,77,63,78,71,74,74,0
17311,8027,8023,54,40,67,49,52,44,47,52,50,36,52,36,52,50,60,47,25.9,26.455,49,63,60,61,64,63,66,67,64,65,0
20580,9927,8548,48,49,52,52,48,47,46,48,51,33,48,67,79,46,47,51,25.364,24.818,61,71,75,67,75,67,73,73,69,76,2
18341,9771,10215,50,50,50,50,50,50,50,50,30,30,50,60,55,30,30,30,27.7,27.182,61,72,63,65,67,61,71,69,67,72,0
11326,9976,9888,30,30,30,40,65,40,30,45,40,30,45,60,70,30,70,65,26.545,28.364,65,77,72,69,78,61,74,70,69,72,2
16673,8021,8244,54,37,48,38,37,47,58,52,63,48,48,68,53,37,58,63,23.5,29.833,48,61,70,56,59,66,62,69,61,64,0
12352,8543,8564,51,54,68,52,69,59,53,54,48,54,51,53,64,48,49,53,27.364,28,66,79,68,75,80,71,79,70,77,87,1
23850,10205,8560,35,35,43,57,58,51,51,56,35,36,60,52,59,48,53,65,25,27.091,61,80,74,76,74,61,79,67,76,80,0
24285,8306,9864,48,44,53,42,53,53,39,57,42,36,41,40,50,47,37,52,27.455,28.455,56,74,70,72,79,66,77,65,75,76,1
12187,8530,8564,67,37,67,52,52,37,57,52,48,54,51,53,64,48,49,53,26,27.182,65,75,67,72,78,68,80,68,77,80,2
3206,10003,8659,66,34,52,51,64,44,47,64,60,65,40,50,45,35,55,60,26.273,27.182,60,76,70,70,65,65,76,69,73,76,0
617,9994,9984,60,60,50,40,50,65,65,70,45,35,70,45,55,65,60,70,26.545,26.818,57,69,66,65,76,64,69,70,64,63,0
2826,10194,8654,65,70,70,70,55,35,70,35,58,30,31,70,50,30,70,30,28.455,27.545,72,78,74,74,75,72,80,77,74,69,1
14454,8526,8464,30,40,43,45,65,42,45,50,47,46,48,78,32,33,54,31,23.182,24.091,54,68,62,64,72,58,71,67,67,75,0
24105,8558,8633,50,44,52,60,40,37,40,45,50,41,68,54,69,39,49,65,27.818,25.909,71,76,70,74,71,69,87,75,84,85,2
7308,9941,10249,49,53,52,34,57,36,52,49,52,47,48,49,52,53,56,48,23.818,27.455,67,75,72,71,77,68,74,69,72,76,0
2811,8668,10260,60,65,60,70,45,40,70,40,70,45,45,70,65,40,50,40,28,30.091,76,82,72,78,86,75,85,70,81,82,1
25538,10199,9931,46,48,51,53,55,48,47,50,61,46,66,66,54,47,58,53,28,24.909,64,66,63,63,61,61,75,71,68,69,2
3219,10252,8528,65,50,45,55,50,35,45,65,35,50,45,65,50,45,55,65,27.273,25.273,73,79,70,76,72,64,78,73,72,74,0
8944,9823,9905,42,40,34,30,72,39,52,65,65,50,59,62,53,57,53,43,25.455,28.091,65,83,73,80,84,64,74,69,72,81,1
16897,8021,8673,33,38,67,52,73,58,47,52,69,55,52,40,53,59,49,67,26.222,26.7,52,66,62,64,75,66,71,68,67,75,1
23385,7878,9910,48,37,72,76,52,49,45,68,53,62,59,68,52,42,52,68,26.273,26.545,69,76,71,73,79,59,74,69,72,81,0
12588,9876,8533,63,48,39,54,55,31,47,37,66,67,52,66,52,46,59,51,30,29.545,67,72,59,71,75,70,74,67,72,78,2
12795,8540,8524,66,37,56,34,63,43,42,48,64,37,38,49,51,36,66,49,26.182,29.091,68,74,67,71,70,69,74,67,72,72,2
