@relation randomized_final_dataset-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1

@attribute home_team_api_id numeric
@attribute away_team_api_id numeric
@attribute buildUpPlaySpeed_home numeric
@attribute buildUpPlayPassing_home numeric
@attribute chanceCreationPassing_home numeric
@attribute chanceCreationCrossing_home numeric
@attribute chanceCreationShooting_home numeric
@attribute defencePressure_home numeric
@attribute defenceAggression_home numeric
@attribute defenceTeamWidth_home numeric
@attribute buildUpPlaySpeed_away numeric
@attribute buildUpPlayPassing_away numeric
@attribute chanceCreationPassing_away numeric
@attribute chanceCreationCrossing_away numeric
@attribute chanceCreationShooting_away numeric
@attribute defencePressure_away numeric
@attribute defenceAggression_away numeric
@attribute defenceTeamWidth_away numeric
@attribute AVG_HOME_AGE numeric
@attribute AVG_AWAY_AGE numeric
@attribute Home_Team_Aggression numeric
@attribute Home_Team_Potential numeric
@attribute Home_Team_Stamina numeric
@attribute Home_Team_OverallRating numeric
@attribute Home_Team_FreeKick numeric
@attribute Away_Team_Aggression numeric
@attribute Away_Team_Potential numeric
@attribute Away_Team_Stamina numeric
@attribute Away_Team_OverallRating numeric
@attribute Away_Team_FreeKick numeric
@attribute labels {0,1,2}

@data
9790,9904,70,60,70,60,70,70,45,60,55,70,65,45,65,70,70,70,28,25.727,68,82,73,76,83,63,77,71,73,69,1
8472,8456,60,70,70,70,55,35,70,35,70,60,55,70,70,45,55,45,24.455,25.455,70,79,66,73,80,78,86,77,81,82,0
9987,8203,45,45,50,35,60,70,65,70,65,60,50,40,50,60,70,60,23.636,26.273,60,73,67,67,72,59,70,67,65,69,0
1601,1957,30,40,50,35,70,65,60,50,30,50,45,35,70,70,70,70,26,24.833,60,62,65,57,56,55,72,70,65,56,1
9839,8674,50,42,50,62,50,38,47,49,51,39,48,67,62,43,44,49,25.1,22.818,58,69,66,65,80,59,74,72,68,76,0
8535,8533,34,33,68,51,53,58,59,61,66,67,52,66,52,46,59,51,26.818,30.727,68,78,71,77,80,69,75,67,74,79,0
8371,8302,38,52,55,59,54,47,52,69,65,65,53,57,38,38,49,55,28.091,27.182,69,74,72,72,76,64,77,69,75,83,2
8673,8024,69,55,52,40,53,59,49,63,66,59,43,61,54,32,43,46,24.818,23.375,60,70,68,65,63,55,68,61,62,46,0
9879,10172,48,45,38,62,54,38,38,62,57,58,60,48,48,42,51,44,31.455,27.909,66,77,68,76,75,67,78,69,75,81,0
10260,8654,46,38,46,68,37,49,49,56,72,73,61,74,32,30,37,41,24.455,27.364,65,83,68,78,79,67,75,67,73,73,0
8659,8559,60,65,40,50,45,35,55,60,45,70,55,70,50,40,55,50,27.818,27.364,63,76,68,73,85,70,78,70,74,75,0
8481,8639,35,35,35,65,35,35,55,50,65,65,50,80,50,55,55,35,27.727,26.545,65,74,71,72,77,69,79,73,77,82,1
8583,8592,30,70,35,65,35,30,55,30,55,45,70,65,70,65,70,65,26.636,26.727,63,77,68,72,76,73,83,75,78,75,1
8472,8191,60,61,56,44,58,41,38,53,48,74,72,59,58,54,57,58,28,26.636,65,75,70,73,81,58,73,75,70,75,0
8524,8533,64,36,38,49,51,54,53,49,66,67,52,51,66,26,59,51,28.273,29.091,71,77,64,73,79,73,74,60,72,76,0
10003,10261,45,42,34,36,55,31,47,42,58,49,47,54,46,41,39,51,26.545,25.909,65,79,71,77,85,69,79,75,75,75,0
8472,10194,67,62,44,72,59,47,53,60,75,75,40,72,55,50,58,45,25.818,26.909,69,77,74,73,88,75,77,76,74,75,1
9829,9747,52,48,37,37,37,35,34,51,63,48,53,49,48,43,47,49,26.182,28.273,61,79,64,75,79,61,71,66,69,79,0
10267,10205,35,35,37,51,58,49,45,53,48,36,36,52,55,47,48,44,26.182,25.455,72,82,72,79,84,62,81,62,76,72,2
10269,8178,70,30,60,70,70,65,50,60,70,30,70,70,70,70,60,70,25.727,25.545,68,79,69,75,77,66,82,72,77,74,2
8467,8548,67,48,47,47,54,33,47,37,51,33,48,67,79,46,47,51,28.636,25.091,61,66,63,64,59,64,72,72,67,73,2
8472,8659,60,61,56,44,58,41,38,53,55,51,53,53,57,41,40,49,29.636,28.455,70,74,68,74,81,66,75,69,74,76,1
8639,8576,34,23,63,52,49,58,56,48,59,52,48,34,52,38,47,53,26.727,28.545,67,79,73,75,73,67,70,61,67,75,0
8639,9827,34,23,63,52,49,58,56,48,49,37,49,64,51,44,46,49,27.455,27.818,62,79,72,76,79,67,76,63,74,80,0
9927,8485,70,70,70,70,65,60,70,70,70,70,70,70,70,60,70,70,23.909,26.182,59,72,71,69,78,61,70,69,65,79,1
8559,8455,45,70,55,70,50,40,55,50,60,50,60,60,80,35,55,50,27.636,27.727,69,76,66,74,83,71,84,75,83,89,2
8635,9989,52,51,60,53,47,60,50,65,69,58,56,52,61,38,49,65,23.636,26.455,61,76,70,69,73,56,68,61,64,69,0
10003,8586,45,42,34,36,55,31,47,42,47,40,41,41,63,63,54,56,27.364,23.909,65,79,71,77,85,64,83,77,78,87,1
8535,9885,67,30,50,60,60,45,30,60,45,35,45,55,70,50,35,70,27.455,27.182,62,84,73,76,75,74,85,76,79,82,1
9874,9851,63,39,63,64,49,54,43,49,64,41,49,52,64,46,44,51,24.182,25.636,59,74,63,68,76,61,77,69,73,72,0
8302,9869,53,53,53,52,60,42,48,59,55,50,62,59,38,45,54,41,26.909,23.455,71,80,72,78,83,56,78,70,73,76,0
9790,9789,46,40,60,55,39,55,47,48,71,45,67,44,70,58,69,46,24.636,24.545,57,80,69,75,88,65,84,73,80,78,0
